,FragmentID, SessionEndDate,Tono emocional,¿Cuándo sucedieron,¿La experiencia que compartiste es?,¿Qué tan común?,¿Por cuánto tiempo?,¿Quién crees que debe saber sobre esta historia?,¿En cuántos colegios/escuelas has estado?,Edad,Grado,Institucion Educativa Distrital,Género,FragmentEntry,StoryTitle,Temas,Familia,EstudiosAcudiente,Describe algo que es…,Sentí que tuve…,Las materias en clase...,El aprendizaje aplicado...,El aprendizaje por descubrimiento...,El auto-aprendizaje...,AreaLaHistoriaInvolucra,AreaEstaHistoriaMeEnseño,AreaLaLeccionImpactoEn,AreaEsImportante
0,005323f7-d046-4b1e-9eb2-4a4704ddf9eb,2017/11/30 23:02:20.144,Triste,Hace un año,Una opinión,Pasa todo el tiempo,Por algun tiempo,Todo el mundo,En 3,11,6,1. Colegio Agustín Fernández (IED),masculino,erase vez niño empeso molestar gordito yme empeso pegar ami medio mucha rabia empeser pegarle sitaron despues otrodia amenasaro unas tigeras queri retirarme retire,niño gordito,"La seguridad en el colegio,Ninguna de las anteriores","mamá,otros","Bachiller,Postgrado (especialización maestría)",Pasa todo el tiempo,Absolutamente ningun control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Profesores,Importancia de experimentar,Relación demás/Oportunidades futuro,Ser el mejor/Comprender a los otros
1,00aa93f4-8add-49bd-9260-5cd8cba10951,2017/11/16 20:52:55.306,Feliz,No se,Experiencia personal,Pasa una vez cada tanto,Por algun tiempo,Los profesores y las directivas,Sólo en este,17,8,1. Colegio Agustín Fernández (IED),masculino,colegio educado grande salones bonitos grandes severo campionatos micro finales bonitaslo negativo pisingos casi peresa unas clases colegio recreo corto,colegio mas educado agustín fernandes,Educación / aprendizaje,otros familiares,Bachiller,Pasa todo el tiempo,Total control,,,,,Profesores,Nuevas conocimientos habilidades,Relación demás,Comprender a los otros
2,017e1fb9-a055-47e8-99eb-fa517bf27048,2017/12/01 03:51:38.351,Muy Feliz,Hace seis meses,Experiencia personal,Muy rara y única,Se me va a olvidar,Nadie,En 3,15,7,1. Colegio Agustín Fernández (IED),femenino,pues vida escolar interesante paso bueno mitad año paso negativo pegaron piedra mejilla inferior pómulo derecho hora descanso cunando repentina mente supe pego pasado cosas positivas,jugar piedras,La seguridad en el colegio,otros familiares,Bachiller,Pasa todo el tiempo,Total control,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Familia comunidad amigos,Comprender como son cosas,Oportunidades futuro,Ser el mejor
3,0208559d-2b1f-421f-a86d-ad761b98e859,2017/11/17 04:52:19.262,Muy Feliz,Hace un año,Una experiencia que alguien te compartió,Pasa una vez cada tanto,Por algun tiempo,Todo el mundo,Sólo en este,13,7,1. Colegio Agustín Fernández (IED),masculino,ami gusta muchon colegio chicos amigables sino gusta abeses pelean vovadas resto mui divertido chebre,chevero,"La seguridad en el colegio,Ninguna de las anteriores","Papá,mamá,Hermanos",Primaria,,,Me interesa poco / Importa poco para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,,,,
4,028d83c7-c051-4c82-a994-97c5b01ee40a,2017/11/17 00:11:00.856,Indiferente,No se,Experiencia personal,Pasa todo el tiempo,Por mucho tiempo,Todo el mundo,Sólo en este,13,8,1. Colegio Agustín Fernández (IED),femenino,sido chevre colegio pequeña conocido muchas personas pues sido genial gusta colegio parece carcel rejas lados baño bombillos chebre aca compañeros buen colegio,cambiando escuela mejor futuro,Innovación / creatividad,"mamá,Hermanos",Primaria,Pasa todo el tiempo,Total control,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,,Neutro,Neutro,Neutro,Neutro
5,04c37012-21ce-4a97-9813-658ee15a2e63,2017/11/30 23:29:00.566,Muy Feliz,No se,Experiencia personal,Muy rara y única,Por siempre,Nadie,En más de 4,13,7,1. Colegio Agustín Fernández (IED),femenino,día amigas presentaron amigo visco hacia reír micho día puso bipolar dejamos hablar,amigos,Relación con los compañeros,otros familiares,Bachiller,,Poco control,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,A mi,Comprender como son cosas,Oportunidades futuro,Comprender a los otros
6,052ca636-8b2e-40f4-a6d7-a7bd6a6995f6,2017/11/16 21:04:19.397,Muy Triste,No se,Experiencia personal,Común,Por mucho tiempo,Todo el mundo,En 2,15,8,1. Colegio Agustín Fernández (IED),masculino,vez primaria caminando niño hizo sancadilla fracture codo,niño imprudente hace sancadilla joven,Bullying / matoneo,mamá,Bachiller,Pasa todo el tiempo,Poco control,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,,,,
7,05393c15-aad9-4fe1-ae78-dcc4553a15e4,2017/11/18 03:00:36.509,Muy Feliz,Hace un año,Experiencia personal,Común,Por siempre,Los profesores y las directivas,En más de 4,16,9,1. Colegio Agustín Fernández (IED),masculino,pues colegio divertido profesores señan bien enseñanzas normas venir formado hacen actividades aprende bastante problema compañeros salida alguna fiesta colegio siempre sumir pues digamos baños arreglando pues biblioteca divertida libros señan,grande chico magnifico,Relación con la familia,"Papá,mamá,Hermanos",Bachiller,Novedoso,Control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Neutro,Nuevas conocimientos habilidades,Neutro,Trabajar en equipo/Comprender a los otros
8,07854063-146b-4389-b447-eb8a51a7676b,2017/11/18 03:04:20.552,Muy Feliz,Hace más de dos años,Experiencia personal,Pasa una vez cada tanto,Por algun tiempo,Todo el mundo,Sólo en este,15,9,1. Colegio Agustín Fernández (IED),femenino,asisto colegio primaria toda vida allá sido bueno enseñado muchas cosas positivas demasiado buenas buen colegio profesores buen carácter enseñan bien así mismo aprende bien colegio calidad bonito grande buenos compañeros hacen actividades aunque seguidas pasa bien buen colegio recomiendo,colegio,Ninguna de las anteriores,"Papá,mamá",Bachiller,Completamente novedoso,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Neutro,Neutro,Neutro,Neutro
9,08fcf8e5-8b37-46f6-8b75-2502796085fe,2017/12/01 03:00:49.666,Indiferente,Hace seis meses,Experiencia personal,Común,Por siempre,Todo el mundo,En 2,16,11,1. Colegio Agustín Fernández (IED),femenino,pues colegio siempre sido bueno aprendizaje demás casi ningún problema,felicidad,Ninguna de las anteriores,"mamá,Hermanos",Bachiller,Pasa todo el tiempo,Control,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Neutro,Neutro,Oportunidades futuro,Ser el mejor
